JCZ, M, 10, brown eyes, not bald, no beard, has hat, no glasses
IDP, M, 10, brown eyes, not bald, has beard, has hat, no glasses
GZE, M, 10, green eyes, not bald, no beard, no hat, no glasses
YUJ, M, 10, blue eyes, not bald, no beard, no hat, has glasses
FGJ, M, 76, brown eyes, not bald, no beard, has hat, no glasses
GIU, M, 86, green eyes, bald, no beard, has hat, has glasses
UML, F, 10, green eyes, not bald, no beard, no hat, has glasses
VJD, F, 82, blue eyes, not bald, no beard, no hat, has glasses
PFC, M, 96, brown eyes, not bald, no beard, has hat, has glasses
HRZ, M, 10, black eyes, not bald, no beard, has hat, has glasses
ZUD, M, 82, brown eyes, not bald, has beard, has hat, has glasses
AKG, F, 10, green eyes, bald, no beard, no hat, no glasses
PZK, F, 89, green eyes, not bald, no beard, no hat, has glasses
IWQ, F, 10, green eyes, not bald, has beard, no hat, no glasses
RGS, F, 10, blue eyes, not bald, has beard, has hat, has glasses
DUK, M, 10, brown eyes, bald, no beard, no hat, has glasses
ZQN, M, 96, green eyes, bald, no beard, no hat, has glasses
UYL, F, 10, brown eyes, bald, has beard, no hat, has glasses
ITG, M, 10, brown eyes, not bald, has beard, has hat, has glasses
CGN, M, 10, brown eyes, not bald, no beard, no hat, no glasses
FKT, F, 10, brown eyes, not bald, has beard, no hat, no glasses
JBD, F, 95, black eyes, not bald, has beard, no hat, has glasses
KTP, F, 10, green eyes, not bald, no beard, no hat, no glasses
TEF, F, 97, brown eyes, bald, no beard, no hat, no glasses
FJH, F, 78, blue eyes, not bald, no beard, has hat, no glasses
UTC, F, 10, brown eyes, bald, has beard, has hat, has glasses
KTH, M, 70, brown eyes, not bald, no beard, no hat, has glasses
HQY, F, 10, green eyes, not bald, no beard, has hat, no glasses
FQZ, F, 10, green eyes, not bald, no beard, has hat, has glasses
MSP, F, 73, brown eyes, bald, no beard, no hat, no glasses
IKH, M, 10, brown eyes, not bald, has beard, no hat, no glasses
OZO, M, 10, green eyes, not bald, has beard, no hat, has glasses
MIH, F, 85, black eyes, bald, no beard, has hat, no glasses
CNX, M, 74, blue eyes, not bald, no beard, has hat, no glasses
PEG, M, 10, brown eyes, not bald, no beard, no hat, has glasses
IXS, F, 10, black eyes, not bald, has beard, no hat, has glasses
UPJ, M, 10, black eyes, not bald, has beard, no hat, no glasses
VGZ, F, 10, black eyes, bald, has beard, has hat, has glasses
GIS, F, 72, black eyes, bald, no beard, no hat, no glasses
KCG, M, 98, brown eyes, bald, has beard, has hat, no glasses
UDF, M, 70, green eyes, not bald, no beard, has hat, no glasses
HSF, M, 10, green eyes, not bald, has beard, has hat, has glasses
