James, M, 18, black eyes, bald, has beard, no hat, no glasses
Kyle, M, 35, green eyes, not bald, no beard, no hat, no glasses
Jake, M, 25, brown eyes, not bald, has beard, no hat, no glasses
Nick, M, 40, green eyes, bald, no beard, no hat, with glasses
Rachael, F, 20, blue eyes, not bald, no beard, has hat, no glasses
Justin, M, 30, brown eyes, not bald, has beard, no hat, no glasses
Tyler, M, 50, black eyes, not bald, has beard, no hat, no glasses
Andy, M, 30, blue eyes, bald, has beard, has hat, no glasses
Emily, F, 50, green eyes, not bald, no beard, no hat, with glasses
Alex, M, 30, brown eyes, bald, no beard, no hat, with glasses
Connor, M, 20, brown eyes, not bald, no beard, no hat, no glasses
Zachary, M, 20, black eyes, bald, no beard, no hat, no glasses
Sarah, F, 45, brown eyes, not bald, no beard, no hat, with glasses
Ashley, F, 18, blue eyes, not bald, no beard, has hat, no glasses
Brandon, M, 45, brown eyes, not bald, no beard, has hat, no glasses
Megan, F, 50, green eyes, not bald, no beard, no hat, no glasses
David, M, 20, brown eyes, bald, has beard, no hat, no glasses
Joseph, M, 25, green eyes, not bald, no beard, no hat, with glasses
William, M, 30, black eyes, not bald, has beard, no hat, no glasses
Daniel, M, 45, blue eyes, not bald, no beard, has hat, no glasses
Matt, M, 20, brown eyes, not bald, no beard, no hat, no glasses
Joshua, M, 18, brown eyes, not bald, has beard, no hat, no glasses
Chris, M, 20, black eyes, not bald, no beard, has hat, no glasses
Jon, M, 30, brown eyes, not bald, has beard, no hat, no glasses
